campaign_name,date,spend_gbp,impressions,reach,website_clicks,searches,content_views,add_to_cart,purchases,ctr,click_to_purchase_rate,cpc_gbp,cpa_gbp
Control Campaign,2019-08-15,5500.37,109461,91522,5303,1106,817,370,128,0.04844647865449795,0.024137280784461625,1.037218555534603,42.971640625
Control Campaign,2019-08-16,4018.98,113233,95864,5393,1107,800,384,136,0.04762745842643046,0.025217875023178193,0.745221583534211,29.551323529411764
Control Campaign,2019-08-17,3840.09,98227,86879,4743,988,741,342,118,0.04828611277958199,0.02487876871178579,0.8096331435800127,32.54313559322034
Control Campaign,2019-08-18,2883.94,77046,59740,3623,703,536,232,73,0.047023855878306466,0.020149047750483026,0.7960088324592879,39.506027397260276
Control Campaign,2019-08-19,5600.75,116186,90971,5647,1190,872,376,127,0.048603101922778995,0.02248981760226669,0.9918098105188595,44.1003937007874
Control Campaign,2019-08-20,3636.31,94771,75800,4622,984,726,316,102,0.048770193413596986,0.02206836867157075,0.7867395067070532,35.650098039215685
Control Campaign,2019-08-21,4922.84,97519,73354,4749,1010,721,337,116,0.04869820240158328,0.024426194988418616,1.0366056011791958,42.43827586206897
Control Campaign,2019-08-22,4172.23,90393,67079,4366,905,664,296,106,0.048300200236743994,0.024278515803939534,0.9556184150251946,39.360660377358485
Control Campaign,2019-08-23,2850.61,80040,64101,3903,772,571,261,80,0.04876311844077961,0.020497053548552396,0.7303638227004868,35.632625000000004
Control Campaign,2019-08-24,4245.19,120972,91766,5806,1235,924,434,153,0.0479945772575472,0.026352049603858077,0.7311729245607991,27.746339869281044
Control Campaign,2019-08-25,4053.73,112986,94215,5266,1049,777,376,136,0.04660754429752359,0.025826053930877325,0.7697930117736422,29.80683823529412
Control Campaign,2019-08-26,4775.24,105412,83730,5158,1038,770,347,145,0.04893181042006603,0.02811167119038387,0.9257929430011632,32.93268965517241
Control Campaign,2019-08-27,4479.94,92132,79376,4276,864,656,312,100,0.046411670212304086,0.023386342376052385,1.0476941066417211,44.7994
Control Campaign,2019-08-28,4501.17,115251,96700,5611,1070,786,367,120,0.04868504394755794,0.021386562110140794,0.8022045981108537,37.509750000000004
Control Campaign,2019-08-29,4943.9,99998,77308,4837,1017,746,346,116,0.04837096741934839,0.02398180690510647,1.0221004755013436,42.619827586206895
Control Campaign,2019-08-30,3395.38,94387,81312,4600,994,736,313,107,0.04873552501933529,0.02326086956521739,0.7381260869565217,31.73252336448598
Test Campaign,2019-08-01,4535.34,106002,89721,5768,1305,947,481,181,0.05441406765910077,0.03138002773925104,0.7862933425797504,25.057127071823206
Test Campaign,2019-08-02,4017.19,110265,85582,6072,1408,1061,553,209,0.055067337777173174,0.034420289855072464,0.6615925559947299,19.221004784688997
Test Campaign,2019-08-03,3021.22,79495,64629,4268,991,744,372,141,0.053688911252280015,0.03303655107778819,0.7078772258669166,21.42709219858156
Test Campaign,2019-08-04,5637.67,119511,88538,6567,1527,1149,578,204,0.054948916836107135,0.031064412973960714,0.8584848484848485,27.63563725490196
Test Campaign,2019-08-05,4396.18,99665,78967,5467,1273,909,474,190,0.05485376009632268,0.034753978415950244,0.8041302359612219,23.13778947368421
Test Campaign,2019-08-06,5604.21,111210,94617,6068,1353,1014,538,215,0.054563438539699666,0.03543177323665129,0.9235678971654582,26.066093023255814
Test Campaign,2019-08-07,5216.7,99159,85481,5291,1260,941,510,194,0.05335874706279813,0.03666603666603667,0.9859572859572859,26.89020618556701
Test Campaign,2019-08-08,5550.17,118616,92419,6342,1444,1058,552,184,0.0534666486814595,0.02901292967518133,0.8751450646483759,30.163967391304347
Test Campaign,2019-08-09,4479.52,88403,67494,4783,1091,819,417,171,0.05410449871610692,0.035751620321973654,0.9365502822496342,26.19602339181287
Test Campaign,2019-08-10,3250.01,82510,69688,4468,1014,747,378,149,0.054151011998545634,0.033348254252461955,0.7273970456580126,21.81214765100671
Test Campaign,2019-08-11,4101.74,88263,68218,4795,1174,867,436,172,0.05432627488302007,0.03587069864442127,0.8554202294056308,23.84732558139535
Test Campaign,2019-08-12,4266.19,110428,83673,5983,1392,1008,505,199,0.05418009925019017,0.03326090590005014,0.7130519806117331,21.438140703517586
Test Campaign,2019-08-13,3610.28,96572,75546,5215,1203,879,442,170,0.054001159756451145,0.032598274209012464,0.6922876318312561,21.23694117647059
Test Campaign,2019-08-14,4290.72,105683,82421,5628,1268,898,473,184,0.05325359802428016,0.032693674484719264,0.7623880597014926,23.31913043478261
Test Campaign,2019-08-15,5947.87,119270,90442,6435,1484,1073,582,230,0.05395321539364467,0.035742035742035744,0.9242999222999223,25.860304347826087
Test Campaign,2019-08-16,3825.53,85556,75911,4620,1079,822,429,168,0.05399971948197672,0.03636363636363636,0.8280367965367966,22.771011904761906
Test Campaign,2019-08-17,4521.81,120346,98656,6473,1527,1142,605,224,0.05378658202183704,0.034605283485246406,0.6985648076625985,20.186651785714286
Test Campaign,2019-08-18,4247.71,85558,74646,4702,1079,809,411,157,0.054956871362116924,0.033390046788600594,0.903383666524883,27.055477707006368
Test Campaign,2019-08-19,3816.2,79683,62725,4239,1039,764,382,151,0.05319829825684274,0.035621608870016516,0.9002594951639538,25.272847682119203
Test Campaign,2019-08-20,4298.64,116187,101172,6284,1473,1096,571,200,0.054085224680902336,0.031826861871419476,0.6840611075747932,21.4932
Test Campaign,2019-08-21,4029.5,77925,66120,4168,973,708,363,153,0.05348732755854989,0.03670825335892514,0.9667706333973128,26.336601307189543
Test Campaign,2019-08-22,3110.55,81878,65449,4508,1064,779,424,181,0.05505752460978529,0.040150842945874,0.6900066548358474,17.185359116022102
Test Campaign,2019-08-23,3266.0,74184,57467,3896,874,643,326,129,0.052518063194219776,0.03311088295687885,0.8382956878850103,25.31782945736434
Test Campaign,2019-08-24,3629.49,91090,74905,4951,1188,888,465,184,0.05435283785267318,0.03716420925065643,0.7330822056150272,19.72548913043478
Test Campaign,2019-08-25,4250.36,104659,93095,5741,1254,941,475,177,0.05485433646413591,0.030830865702839227,0.7403518550775126,24.013333333333332
Test Campaign,2019-08-26,4810.76,92869,77930,5066,1177,908,465,162,0.054549957466969605,0.03197789182787209,0.9496170548756415,29.69604938271605
Test Campaign,2019-08-27,3011.43,72999,64159,3883,865,655,329,119,0.05319250948643132,0.03064640741694566,0.7755421066185938,25.30613445378151
Test Campaign,2019-08-28,3352.85,86912,66987,4759,1069,794,434,161,0.0547565353460972,0.03383063668837991,0.7045282622399663,20.825155279503104
Test Campaign,2019-08-29,3516.76,72402,60146,3790,898,686,356,133,0.05234662025910886,0.03509234828496042,0.9279050131926122,26.441804511278196
Test Campaign,2019-08-30,4838.83,89489,76667,4956,1152,840,441,185,0.05538110829263932,0.03732849071832123,0.9763579499596449,26.155837837837836
